# ANIMALS
PENGUIN	PELICAN	1
OCTOPUS	JELLYFISH	1
HAMSTER	GUINEA PIG	2
CROCODILE	LIZARD	1
PIGEON	SEAGULL	2
GOAT	SHEEP	2
DOLPHIN	SHARK	1
BAT	OWL	2
BEEHIVE	ANTHILL	2
CAMEL	DONKEY	1
SPIDER	BEETLE	1
PARROT	CROW	1
TORTOISE	SNAIL	1
WOLF	FOX	2
WHALE	SUBMARINE	2
KANGAROO	RABBIT	1
ELEPHANT	RHINO	1
GIRAFFE	OSTRICH	1
MONKEY	SQUIRREL	1
POLAR BEAR	SNOW LEOPARD	1
FLAMINGO	PEACOCK	1
HEDGEHOG	PORCUPINE	2
BUTTERFLY	DRAGONFLY	1
FROG	TOAD	3
SWAN	GOOSE	2
LOBSTER	CRAB	2
SEAL	OTTER	2
LION	TIGER	2
BULL	STAG	2
CHICKEN	TURKEY	2
SNAKE	EEL	2
BEE	WASP	2
ANT	TERMITE	2
MOUSE	SHREW	2
HORSE	ZEBRA	1
COW	BUFFALO	2
DUCK POND	BIRD BATH	1
NEST	BURROW	2
FEATHER	SCALE	2
PAW PRINT	HOOFPRINT	2
TAIL	ANTLER	2
CLAW	BEAK	2
FUR	WOOL	2
MIGRATION	COMMUTE	3
HIBERNATION	LIE-IN	3
ZOO	SAFARI PARK	1
AQUARIUM	GREENHOUSE	1
MICROCHIP	COLLAR TAG	2
LEAD	HARNESS	2
KENNEL	STABLE	2
LITTER TRAY	BIRD CAGE	1
GOLDFISH	KOI	2
PUPPY	KITTEN	1
STRAY	RESCUE	3
SHEEPDOG	GUIDE DOG	2
CAT FLAP	LETTERBOX	2
BARK	HOWL	2
PURR	GROWL	2
SWARM	HERD	2
FLOCK	SHOAL	3
PREDATOR	SCAVENGER	3
CAMOUFLAGE	DISGUISE	2
STING	BITE	3
VENOM	POISON	3
SHELL	ARMOUR	2
WEB	NET	2
HONEYCOMB	HONEYPOT	3
TADPOLE	CATERPILLAR	2
EGG	SEED	2
FEEDING TIME	FREE PERIOD	2
PET SHOP	GARDEN CENTRE	1
BIRD SONG	ALARM CLOCK	2
JUNGLE	RAINFOREST	3
DESERT FOX	ARCTIC HARE	2
SEAHORSE	STARFISH	1
BADGER	MOLE	2
DEER	ANTELOPE	2
BEAR CUB	FOAL	2
WORM	CENTIPEDE	2
MOTH	FIREFLY	2
