# CHARADES — act it out, no words, no pointing at objects in the room.
#
# Format: PHRASE<tab>difficulty  (no decoy — that is a RINGER mechanic)
#
# INTERNATIONAL BY RULE. Every entry has to be actable by someone who has never
# lived in the US or the UK. That means: no baseball, gridiron or cheerleading;
# no Thanksgiving, Halloween or prom; no regional vocabulary (nappy/diaper,
# pram/stroller, queue/line, torch/flashlight); no brand names; no celebrities.
# What is left is the body, the kitchen, work, weather and football — which is
# most of human life, and plays anywhere.
SNEEZING	1
YAWNING	1
SNORING	1
SHIVERING	2
LAUGHING	1
CRYING	1
WHISTLING	2
CLAPPING	1
TIPTOEING	2
LIMPING	2
STRETCHING	1
SLEEPING	1
WAVING GOODBYE	1
SHAKING HANDS	1
BOWING	2
ARGUING	2
BRUSHING TEETH	1
WASHING HANDS	1
SHAVING	1
COMBING HAIR	1
TYING SHOELACES	2
TYING A TIE	2
PUTTING ON SOCKS	2
TAKING A SHOWER	1
COOKING	1
FRYING AN EGG	1
CHOPPING ONIONS	2
STIRRING A POT	1
EATING NOODLES	1
EATING SPAGHETTI	2
DRINKING TEA	1
WASHING DISHES	1
PEELING A BANANA	1
OPENING A BOTTLE	2
SWEEPING	1
IRONING	2
SEWING	2
THREADING A NEEDLE	3
HANGING WASHING	2
MAKING A BED	1
LOCKING A DOOR	2
HAMMERING A NAIL	2
SAWING WOOD	2
PAINTING A WALL	2
CHANGING A BULB	2
DIGGING	1
PLANTING A TREE	2
WATERING PLANTS	1
CHOPPING WOOD	2
CARRYING WATER	2
FISHING	1
MILKING A COW	2
RIDING A HORSE	1
HERDING SHEEP	3
SWIMMING	1
RUNNING	1
CYCLING	1
BOXING	1
PLAYING FOOTBALL	1
SAVING A PENALTY	2
SKIPPING ROPE	2
LIFTING WEIGHTS	2
CLIMBING A ROPE	2
ROWING A BOAT	2
DOING YOGA	1
TABLE TENNIS	2
ARM WRESTLING	2
PLAYING GUITAR	1
PLAYING DRUMS	1
PLAYING PIANO	1
PLAYING A FLUTE	2
CONDUCTING	3
JUGGLING	1
DANCING	1
TAKING A PHOTO	1
DRIVING A CAR	1
PARKING A CAR	2
PACKING A BAG	1
READING A MAP	2
CATCHING A BUS	2
CLIMBING STAIRS	2
PUSHING A CART	2
TAKING A SELFIE	1
TEXTING	1
FLYING A KITE	1
BLOWING BUBBLES	1
BLOWING CANDLES	1
OPENING A GIFT	1
SWATTING A FLY	2
BEING SEASICK	3
WAKING UP LATE	2
CARRYING A BABY	1
