# FOOD
PIZZA	PANCAKE	1
TOASTER	KETTLE	1
HOT SAUCE	MUSTARD	2
LEFTOVERS	PACKED LUNCH	2
ICE CREAM	YOGHURT	1
BREAKFAST	MIDNIGHT SNACK	2
NOODLES	SPAGHETTI	1
PICNIC	BARBECUE	1
CHEESE	BUTTER	1
SOUP	STEW	2
BIRTHDAY CAKE	CHEESECAKE	1
CHOPSTICKS	CUTLERY	1
MICROWAVE	OVEN	1
STREET FOOD	FINE DINING	2
BURNT TOAST	COLD COFFEE	3
LUNCHBOX	BREAD BIN	1
SANDWICH	WRAP	1
CEREAL	PORRIDGE	1
FRYING PAN	SAUCEPAN	2
RECIPE	INSTRUCTIONS	2
SPICY	SOUR	2
DESSERT	STARTER	1
CHOCOLATE	CARAMEL	1
FRUIT BOWL	VEG RACK	1
FREEZER	PANTRY	1
GARLIC	GINGER	2
LEMON	LIME	2
HONEY	SYRUP	2
CRISPS	POPCORN	1
SOFT DRINK	MILKSHAKE	1
COFFEE SHOP	TEA ROOM	2
BAKERY	BUTCHER	1
MENU	PRICE LIST	2
TIP	SERVICE CHARGE	3
BILL	RECEIPT	1
KITCHEN	LABORATORY	2
LEFT ON	BOILED OVER	3
SHOPPING LIST	RECEIPT	2
TRIFLE	SUNDAE	2
ROAST DINNER	FRY-UP	2
GRAVY	CUSTARD	2
SALT	PEPPER	2
OLIVE OIL	VINEGAR	2
PASTA BAKE	CASSEROLE	2
TAKEAWAY	DELIVERY	2
DOUGH	BATTER	2
FISH AND CHIPS	PIE AND MASH	1
CURRY	CHILLI	2
RICE	COUSCOUS	2
BURGER	HOT DOG	1
SALAD	COLESLAW	1
SMOOTHIE	SLUSHIE	2
JAM	MARMALADE	2
PEANUT BUTTER	CREAM CHEESE	1
CROISSANT	BAGEL	1
PANCAKE DAY	SHROVE	3
FOOD TRUCK	ICE CREAM VAN	1
BUFFET LINE	SERVING HATCH	2
LEFTOVER RICE	STALE BREAD	3
DINNER PARTY	FAMILY MEAL	2
TABLECLOTH	PLACEMAT	2
NAPKIN	TEA TOWEL	2
CORKSCREW	TIN OPENER	2
BLENDER	GRINDER	2
SCALES	MEASURING JUG	2
SOUR MILK	FLAT LEMONADE	3
FOOD COMA	SUGAR RUSH	2
SEA SALT	BLACK PEPPER	3
STICKY TOFFEE	BREAD PUDDING	2
CHEESEBOARD	FRUIT PLATTER	2
LEFTOVER CURRY	YESTERDAY PIZZA	3
CHEWING GUM	MINT	1
BOILING WATER	MELTED ICE	2
SUNDAY LUNCH	PACKED SUPPER	2
FOOD FIGHT	WATER BALLOON	2
CHIP SHOP	KEBAB VAN	2
SEASONING	MARINADE	3
KITCHEN TIMER	EGG CUP	2
SOUP SPOON	LADLE	2
DOGGY BAG	FOIL WRAP	2
