# JOBS
DENTIST	HYGIENIST	1
PILOT	SHIP CAPTAIN	1
BARISTA	BARTENDER	2
PLUMBER	ELECTRICIAN	1
LIFEGUARD	PARK RANGER	1
TATTOOIST	BARBER	2
BUTCHER	FISHMONGER	2
NURSE	PARAMEDIC	2
TEACHER	LECTURER	3
FIREFIGHTER	COASTGUARD	1
POSTMAN	COURIER	2
CLEANER	CARETAKER	2
CHEF	BAKER	2
FARMER	GARDENER	2
VET	ZOOKEEPER	2
JOURNALIST	NOVELIST	2
PHOTOGRAPHER	PAINTER	2
ARCHITECT	SURVEYOR	2
ACCOUNTANT	AUDITOR	3
LAWYER	NOTARY	2
JUDGE	MAGISTRATE	3
POLICE OFFICER	SECURITY GUARD	1
SOLDIER	SAILOR	2
SCIENTIST	INVENTOR	2
LIBRARIAN	ARCHIVIST	2
RECEPTIONIST	CONCIERGE	2
WAITER	SOMMELIER	2
TAXI DRIVER	TRAM CONDUCTOR	2
TRAIN DRIVER	FERRY SKIPPER	3
MECHANIC	PANEL BEATER	2
CARPENTER	JOINER	3
BRICKLAYER	ROOFER	2
DECORATOR	SIGN WRITER	2
WELDER	BLACKSMITH	2
MINER	DRILLER	2
FISHERMAN	WHALER	2
SHEPHERD	COWHAND	2
BEEKEEPER	FALCONER	2
FLORIST	GREENGROCER	2
JEWELLER	WATCHMAKER	3
TAILOR	COBBLER	2
HAIRDRESSER	MAKE-UP ARTIST	2
MASSEUSE	PHYSIO	2
MIDWIFE	SURGEON	2
PHARMACIST	HERBALIST	2
OPTICIAN	AUDIOLOGIST	3
DIETICIAN	PERSONAL TRAINER	2
LIFE COACH	THERAPIST	2
SOCIAL WORKER	PROBATION	3
TRANSLATOR	INTERPRETER	3
TOUR GUIDE	CURATOR	2
ESTATE AGENT	AUCTIONEER	3
BANKER	BROKER	2
CASHIER	TELLER	3
SHOP ASSISTANT	STOCKROOM	2
WAREHOUSE	DISPATCH	2
DELIVERY DRIVER	REMOVAL MAN	2
AIR TRAFFIC	SIGNALMAN	2
CABIN CREW	TRAIN GUARD	2
TICKET INSPECTOR	TRAFFIC WARDEN	2
LOLLIPOP LADY	CROSSING GUARD	3
BOUNCER	DOORMAN	3
DJ	RADIO HOST	2
COMEDIAN	MAGICIAN	1
DANCER	ACROBAT	2
MUSICIAN	COMPOSER	2
ACTOR	STUNTMAN	2
SET DESIGNER	COSTUME MAKER	2
SPORTS COACH	GYM INSTRUCTOR	2
ASTRONAUT	DEEP SEA DIVER	1
METEOROLOGIST	SEISMOLOGIST	2
ARCHAEOLOGIST	PALAEONTOLOGIST	2
ENGINEER	TECHNICIAN	3
PROGRAMMER	DESIGNER	2
ANIMATOR	ILLUSTRATOR	3
CHAUFFEUR	VALET	3
NANNY	AU PAIR	3
UNDERTAKER	GRAVEDIGGER	2
NIGHT PORTER	DAY MANAGER	2
APPRENTICE	INTERN	3
