# OBJECTS
UMBRELLA	PARASOL	1
STAPLER	HOLE PUNCH	1
MIRROR	WINDOW	2
LADDER	SCAFFOLD	1
SUITCASE	RUCKSACK	1
KETTLE	FLASK	2
CANDLE	LANTERN	1
ROPE	CHAIN	2
SCISSORS	PLIERS	1
HAMMER	MALLET	2
SCREWDRIVER	SPANNER	1
TAPE MEASURE	RULER	2
TORCH	HEADLAMP	2
PADLOCK	BOLT	2
KEYRING	LANYARD	2
WALLET	PURSE	2
GLASSES	GOGGLES	2
WATCH	BRACELET	2
BACKPACK	SATCHEL	3
NOTEBOOK	DIARY	2
PENCIL CASE	TOOL BOX	1
RUBBER BAND	PAPERCLIP	2
ENVELOPE	PARCEL	1
POSTAGE STAMP	STICKER	2
BROOM	MOP	2
BUCKET	BASIN	2
BIN BAG	CARRIER	2
CLOTHES PEG	BULLDOG CLIP	2
IRONING BOARD	FOLDING TABLE	1
COAT HANGER	TOWEL RAIL	2
DOORMAT	RUG	2
CUSHION	PILLOW	3
BLANKET	CURTAIN	2
LAMPSHADE	PLANT POT	2
PICTURE FRAME	NOTICEBOARD	2
BOOKSHELF	WARDROBE	2
DRAWER	CUPBOARD	3
SAFE	VAULT	3
BRIEFCASE	FILE BOX	2
CLIPBOARD	TRAY	2
WHISTLE	BELL	2
COMPASS	MAP	1
BINOCULARS	TELESCOPE	2
MAGNIFYING GLASS	MICROSCOPE	2
FUSE BOX	METER	2
PLUG	SOCKET	2
EXTENSION LEAD	GARDEN HOSE	2
TOOLBELT	APRON	2
WHEELBARROW	TROLLEY	1
SPADE	RAKE	2
WATERING CAN	KETTLE SPOUT	3
LAWNMOWER	HEDGE TRIMMER	1
BIRD FEEDER	POST BOX	2
DOORBELL	KNOCKER	2
LETTERBOX	CAT FLAP	2
STEPLADDER	STOOL	2
SPIRIT LEVEL	PLUMB LINE	3
SANDPAPER	WIRE WOOL	2
PAINT ROLLER	BRUSH	2
DUST SHEET	TARPAULIN	3
NAIL	SCREW	3
GLUE	TAPE	2
STRING	WIRE	2
CANDLESTICK	COAT HOOK	2
JIGSAW	CROSSWORD	1
DICE	COUNTER	2
MARBLE	PEBBLE	3
BALLOON PUMP	FOOT BELLOWS	2
TRAMPOLINE	BOUNCY CASTLE	1
SKIPPING ROPE	HULA HOOP	1
SWING	SEESAW	1
KITE	WINDMILL	2
SNOW GLOBE	FISH TANK	2
JAR	TIN	3
CORK	LID	2
TOOTHBRUSH	HAIRBRUSH	2
TOWEL	FLANNEL	3
SUNGLASSES	VISOR	2
WALKING STICK	CRUTCH	2
TRAIN TICKET	BOARDING PASS	2
