# PARTY — WORD <tab> DECOY <tab> difficulty (1 easy, 3 hard)
# Decoy must be confusable at first, divergent after two clues.
KARAOKE	STAND-UP	1
HANGOVER	JET LAG	2
BIRTHDAY	ANNIVERSARY	1
DANCE FLOOR	FRONT ROW	1
GROUP CHAT	NOTICE BOARD	2
LAST BUS	FIRST TRAIN	2
SELFIE	PORTRAIT	1
SLEEPOVER	CAMPING TRIP	2
WEDDING	FUNERAL	1
FANCY DRESS	SCHOOL UNIFORM	2
QUEUE	CROWD	2
BOARD GAME	CARD TRICK	1
FIREWORKS	BONFIRE	1
NEW YEAR	HALLOWEEN	1
BALLOON	KITE	1
CONFETTI	GLITTER	2
PLAYLIST	MIXTAPE	2
NIGHT BUS	TAXI RANK	2
NAME TAG	WRISTBAND	2
PHOTO BOOTH	VENDING MACHINE	1
SPEECH	TOAST	3
GATECRASHER	PLUS ONE	2
DISCO BALL	SPOTLIGHT	1
HOUSE PARTY	WORK DO	2
PINATA	LUCKY DIP	2
BIG SCREEN	PROJECTOR	2
CANDLES	FAIRY LIGHTS	1
GUEST LIST	SHORTLIST	2
SECRET SANTA	RAFFLE	2
LEAVING DO	HOUSEWARMING	2
DARE	CHALLENGE	3
DRESS CODE	SEATING PLAN	2
AFTERPARTY	WARM-UP	2
CATERING	TAKEAWAY	2
DANCE-OFF	TUG OF WAR	2
PARTY TRICK	MAGIC ACT	2
VIP AREA	BACKSTAGE	2
GLOW STICK	SPARKLER	1
GROUP PHOTO	TEAM PORTRAIT	1
LATE ARRIVAL	EARLY EXIT	3
BUFFET	PICNIC	1
NOISE COMPLAINT	PARKING TICKET	2
BEST MAN	RINGBEARER	2
FIRST DANCE	LAST ORDERS	2
HEN DO	STAG DO	1
BABY SHOWER	RETIREMENT	2
BALLROOM	FUNCTION ROOM	2
SCAVENGER HUNT	TREASURE MAP	2
PUB QUIZ	SPELLING BEE	1
KARAOKE BOOTH	RECORDING STUDIO	2
STREET PARTY	CARNIVAL	1
FESTIVAL	MARATHON	1
WRIST STAMP	TICKET STUB	2
COAT CHECK	LOST PROPERTY	2
DJ BOOTH	PULPIT	2
SPEAKERS	MEGAPHONE	2
ENCORE	CURTAIN CALL	3
CROWD SURF	CONGA LINE	2
GRAND ENTRANCE	QUIET EXIT	3
BIRTHDAY CARD	POSTCARD	1
PARTY BAG	LUNCHBOX	1
COUNTDOWN	KICK-OFF	2
MIDNIGHT	SUNRISE	1
LEFTOVER CAKE	COLD PIZZA	2
GROUP HUG	HANDSHAKE	2
INSIDE JOKE	CATCHPHRASE	3
BAD DANCER	SORE LOSER	3
SPILLED DRINK	BROKEN GLASS	2
LOUD MUSIC	THIN WALLS	2
WRONG HOUSE	EMPTY FLAT	3
FOAM PARTY	MUD RUN	2
FACE PAINT	MASK	2
LIVE BAND	STREET ACT	1
TABLE PLAN	MENU CARD	3
CHEERS	SALUTE	2
SHOTS	ROUNDS	2
SOBER DRIVER	NIGHT PORTER	2
LOST KEYS	FLAT BATTERY	2
WALKING HOME	CATCHING UP	3
