# PLACES
AIRPORT	TRAIN STATION	1
BEACH	DESERT	1
LIBRARY	MUSEUM	1
ROOFTOP	BASEMENT	2
CAR PARK	GARAGE	2
MARKET	JUMBLE SALE	2
TUNNEL	BRIDGE	1
WAITING ROOM	CLASSROOM	2
CAMPSITE	HOTEL	1
LIFT	STAIRWELL	2
SWIMMING POOL	LAKE	1
ROUNDABOUT	CROSSROADS	2
CATHEDRAL	TOWN HALL	2
PLAYGROUND	SKATE PARK	1
GREENHOUSE	SHED	2
FERRY	CABLE CAR	2
MOTORWAY	COUNTRY LANE	2
LIGHTHOUSE	WATCHTOWER	2
CAVE	MINE	2
VILLAGE	SUBURB	2
HARBOUR	MARINA	3
CITY CENTRE	OUTSKIRTS	2
BUS STOP	TAXI RANK	2
PLATFORM	RUNWAY	2
CROSSING	JUNCTION	3
CAMPUS	BARRACKS	2
PRISON	BOARDING SCHOOL	2
COURTROOM	LECTURE HALL	2
HOSPITAL	CLINIC	2
CHEMIST	CORNER SHOP	2
LAUNDERETTE	CAR WASH	2
POST OFFICE	BANK	2
CINEMA	THEATRE	1
STADIUM	ARENA	3
CHURCHYARD	ALLOTMENT	2
FIELD	MEADOW	3
FOREST	ORCHARD	2
WATERFALL	FOUNTAIN	1
GLACIER	SAND DUNE	2
VOLCANO	GEYSER	2
ISLAND	PENINSULA	2
CLIFF	CANYON	2
RIVERBANK	SHORELINE	3
HILLTOP	VALLEY	1
BORDER	CHECKPOINT	3
EMBASSY	CONSULATE	3
BUNKER	ATTIC	2
BALCONY	PORCH	2
HALLWAY	CORRIDOR	3
CELLAR	LOFT	2
CANTEEN	FOOD COURT	2
GYM	DANCE STUDIO	2
SPA	SAUNA	2
CAMPFIRE	FIREPLACE	2
TENT	CARAVAN	1
MOTEL	HOSTEL	2
DEPARTURE GATE	TICKET HALL	2
BAGGAGE CLAIM	LOST PROPERTY	2
DUTY FREE	GIFT SHOP	2
SERVICE STATION	REST STOP	3
TOLL BOOTH	TICKET BARRIER	2
LEVEL CROSSING	SWING BRIDGE	2
FIRE ESCAPE	BACK ALLEY	2
ROOF GARDEN	WINDOW BOX	2
BUILDING SITE	SCRAPYARD	2
QUARRY	LANDFILL	2
WIND FARM	OIL RIG	2
PIER	BOARDWALK	2
FUNFAIR	CIRCUS	1
BOTANIC GARDEN	NATURE TRAIL	2
OBSERVATORY	PLANETARIUM	2
CASTLE	FORTRESS	3
RUINS	MONUMENT	2
CATACOMBS	CRYPT	3
UNDERPASS	FLYOVER	2
DEAD END	ONE WAY	2
HIGH STREET	RING ROAD	2
SHOPPING MALL	ARCADE	2
NEWSAGENT	KIOSK	2
ROADWORKS	DIVERSION	2
