# SCREEN — film and television, no specific titles (they date badly and split rooms)
HORROR	THRILLER	2
CAR CHASE	GETAWAY	1
PLOT TWIST	RED HERRING	2
SEQUEL	REMAKE	2
VILLAIN	ANTIHERO	2
CLIFFHANGER	OPEN ENDING	2
TRAILER	TEASER	3
CAMEO	EXTRA	2
STUNT DOUBLE	STAND-IN	3
BOX SET	MINI SERIES	2
SOAP OPERA	SITCOM	1
DOCUMENTARY	NEWSREEL	2
GAME SHOW	QUIZ NIGHT	1
NEWS ANCHOR	TALK HOST	2
LIVE STREAM	BROADCAST	2
SUBTITLES	DUBBING	1
SOUNDTRACK	THEME TUNE	2
CREDITS	OPENING TITLES	2
SPOILER	LEAK	2
BINGE WATCH	REWATCH	2
POPCORN	NACHOS	1
FRONT ROW	BALCONY SEAT	2
RED CARPET	CATWALK	1
AWARD	NOMINATION	2
SCRIPT	SCREENPLAY	3
AUDITION	SCREEN TEST	3
DIRECTOR	PRODUCER	2
BOOM MIC	CLAPPERBOARD	2
GREEN SCREEN	BACKDROP	1
SPECIAL EFFECTS	PRACTICAL EFFECT	2
MONTAGE	FLASHBACK	2
NARRATOR	VOICEOVER	3
BLOOPER	OUTTAKE	3
SEASON FINALE	PILOT	2
STREAMING	RENTAL	2
CHANNEL	NETWORK	3
REMOTE	SET-TOP BOX	1
BOX OFFICE	TICKET BOOTH	2
CRITIC	REVIEWER	3
CULT CLASSIC	BOX OFFICE FLOP	2
SUPERHERO	SIDEKICK	1
ALIEN	MONSTER	2
TIME TRAVEL	PARALLEL WORLD	2
HEIST	CON	2
COURTROOM DRAMA	CRIME SERIES	2
ROMCOM	MELODRAMA	2
WESTERN	SAMURAI	2
ANIMATION	PUPPETRY	2
SILENT FILM	RADIO PLAY	2
BLACK AND WHITE	SEPIA	2
SLOW MOTION	FAST FORWARD	1
JUMP SCARE	FALSE ALARM	2
LOVE TRIANGLE	RIVALRY	2
CHASE SCENE	SHOWDOWN	2
TRAINING MONTAGE	MAKEOVER	2
DREAM SEQUENCE	HALLUCINATION	3
POST CREDITS	EPILOGUE	3
FAN THEORY	CONSPIRACY	2
RECAP	PREVIEW	2
CATCHPHRASE	TAGLINE	2
COSTUME	PROP	3
MAKE-UP CHAIR	DRESSING ROOM	2
FILM SET	BACKLOT	3
ON LOCATION	ON STAGE	2
DOUBLE BILL	MATINEE	2
END SCENE	COLD OPEN	3
LAUGH TRACK	APPLAUSE SIGN	2
SCREEN TIME	RUNTIME	3
TYPECAST	MISCAST	3
ADAPTATION	ORIGINAL	3
SCREEN GRAB	SNAPSHOT	2
INTERVAL	AD BREAK	2
USHER	PROJECTIONIST	2
FILM FESTIVAL	PREMIERE	2
BINGE QUEUE	WATCHLIST	2
PAUSE BUTTON	VOLUME DIAL	2
SPIN-OFF	CROSSOVER	3
RERUN	REPLAY	3
SCREEN TEST	DRESS REHEARSAL	3
STUNT FALL	PRATFALL	3
