# SPICY (18+) — adult party register, suggestive not explicit.
# Gated off by default. Shipping this unlocked changes the age rating.
EX	OLD FLAME	1
WALK OF SHAME	MORNING AFTER	2
DRUNK DIAL	WRONG NUMBER	2
BAD TATTOO	DODGY PIERCING	2
DATING APP	BLIND DATE	1
FIRST DATE	AWKWARD LUNCH	2
GHOSTING	SLOW FADE	2
RED FLAG	DEAL BREAKER	2
SITUATIONSHIP	OPEN BOOK	3
TEXT AT 2AM	CALL AT DAWN	2
LEFT ON READ	UNANSWERED CALL	2
DOUBLE TEXT	FOLLOW-UP EMAIL	2
SWIPE LEFT	HARD PASS	2
BEER GOGGLES	ROSE TINTED	2
LOVE BITE	BRUISE	2
SNEAKING OUT	CREEPING IN	2
SHARED TAXI	SEPARATE WAYS	3
SPARE KEY	GUEST TOWEL	2
MEET THE PARENTS	FAMILY DINNER	2
THE TALK	THE SILENCE	3
BREAK-UP TEXT	RESIGNATION	2
REBOUND	RETRY	2
JEALOUSY	SUSPICION	3
WHITE LIE	HALF TRUTH	3
SECRET CRUSH	QUIET ADMIRER	2
OFFICE ROMANCE	HOLIDAY FLING	2
SPEED DATING	JOB INTERVIEW	2
WINGMAN	CHAPERONE	2
BAD CHAT-UP LINE	SALES PITCH	2
OVERSHARING	TMI	3
CHAT SCREENSHOT	VOICE NOTE	2
BLOCKED	UNFRIENDED	3
DOOMSCROLLING	PEOPLE WATCHING	3
LAST ORDERS	CLOSING TIME	3
KEBAB AT 3AM	CEREAL AT NOON	2
HANGXIETY	STAGE FRIGHT	2
LOST PHONE	MISSING COAT	2
KARAOKE REGRET	SPEECH NERVES	3
TABLE DANCING	LIFT SINGING	2
BAR TAB	SPLIT BILL	2
SHOTS ROUND	NIGHTCAP	2
TRUTH OR DARE	NEVER HAVE I	1
SPIN THE BOTTLE	PASS THE PARCEL	2
LOCKED OUT	SHUT IN	2
SOFA SURFING	HOUSE SITTING	2
FLATMATE	HOUSEGUEST	3
THIN WALLS	OPEN WINDOW	3
AWKWARD SILENCE	NERVOUS LAUGH	3
CRINGE	PITY	2
SOBER FRIEND	NIGHT NURSE	2
FAKE NUMBER	WRONG DIGITS	3
WRONG BED	STRANGE SOFA	2
MYSTERY BRUISE	ODD SCRATCH	2
BANK STATEMENT	CAMERA ROLL	2
UNSENT MESSAGE	DRAFT EMAIL	3
