# SPORT
PENALTY	FREE KICK	1
MARATHON	SPRINT	1
REFEREE	LINESMAN	2
SWIMMING	DIVING	1
LOCKER ROOM	DUGOUT	2
OWN GOAL	FOUL	2
TROPHY	MEDAL	1
BENCH	SIDELINE	2
HALF TIME	INTERVAL	2
KICK-OFF	FINAL WHISTLE	2
GOALKEEPER	STRIKER	1
CAPTAIN	COACH	2
TRAINING	WARM-UP	2
TERRACES	GRANDSTAND	2
SEASON TICKET	DAY PASS	2
TRANSFER	LOAN	3
RED CARD	SIN BIN	2
EXTRA TIME	REPLAY	2
SCOREBOARD	LEAGUE TABLE	2
HOME GAME	AWAY DAY	2
DERBY	FRIENDLY	2
SUBSTITUTE	RESERVE	3
INJURY TIME	STOPPAGE	2
DRIBBLE	TACKLE	2
HAT-TRICK	CLEAN SHEET	2
CROSSBAR	GOAL LINE	2
BOXING RING	WRESTLING MAT	1
KNOCKOUT	SUBMISSION	2
ROUND	SET	3
UMPIRE	JUDGE	2
SERVE	RALLY	2
NET	HOOP	2
RACKET	BAT	2
PITCH	COURT	2
TRACK	LANE	2
FINISH LINE	STARTING BLOCK	1
BATON	RELAY	3
HURDLE	VAULT	2
JAVELIN	DISCUS	2
LONG JUMP	POLE VAULT	2
CYCLING	SKATING	1
HELMET	GOGGLES	2
SADDLE	HANDLEBAR	2
PIT STOP	SERVICE BREAK	2
CHEQUERED FLAG	PODIUM	2
LAP	CIRCUIT	3
SURFING	SAILING	1
CLIMBING	ABSEILING	2
SKI SLOPE	TOBOGGAN RUN	2
SNOWBOARD	SKATEBOARD	2
GYMNASTICS	BALLET	2
BEAM	BAR	3
SCOREKEEPER	TIMEKEEPER	3
TEAM SHEET	LINE-UP	3
FANS	SUPPORTERS	3
CHANT	ANTHEM	2
MASCOT	CHEERLEADER	1
KIT	STRIP	3
SPONSOR	PATRON	3
STOPWATCH	WHISTLE	1
COIN TOSS	DRAW	2
PLAY-OFF	KNOCKOUT ROUND	3
GROUP STAGE	QUALIFIER	3
CUP FINAL	LEAGUE TITLE	2
UNDERDOG	FAVOURITE	2
COMEBACK	COLLAPSE	2
RECORD	PERSONAL BEST	2
DOPING TEST	MEDICAL	3
PRESS CONFERENCE	POST-MATCH	3
FANTASY LEAGUE	OFFICE SWEEP	2
DARTS	SNOOKER	1
BOWLING	CURLING	2
GOLF SWING	TENNIS SERVE	2
CADDIE	BALL BOY	2
CLUBHOUSE	PAVILION	2
ROWING	CANOEING	2
FENCING	ARCHERY	1
CHESS CLOCK	EGG TIMER	3
FIVE-A-SIDE	SEVEN-A-SIDE	3
TRIATHLON	DECATHLON	3
