# TECH
PASSWORD	USERNAME	1
BLUETOOTH	WIFI	1
SPAM	JUNK MAIL	2
BATTERY	CHARGER	1
ALGORITHM	FORMULA	3
FIREWALL	PADLOCK	2
CACHE	BACKUP	3
DRONE	HELICOPTER	1
SCREENSHOT	PHOTOCOPY	2
NOTIFICATION	DOORBELL	2
GROUP CALL	CONFERENCE	2
MUTE BUTTON	VOLUME KNOB	2
LOADING BAR	QUEUE TICKET	2
SEARCH BAR	INDEX	2
BOOKMARK	SHORTCUT	3
DOWNLOAD	UPLOAD	2
UPDATE	PATCH	3
CRASH	FREEZE	3
REBOOT	REFRESH	3
DARK MODE	NIGHT LIGHT	2
TOUCHSCREEN	KEYPAD	2
KEYBOARD	TYPEWRITER	1
MOUSE MAT	COASTER	2
WEBCAM	DOOR CAMERA	2
HEADPHONES	EARMUFFS	1
SPEAKER	MEGAPHONE	2
CHARGING CABLE	EXTENSION LEAD	2
POWER BANK	SPARE BATTERY	3
SIM CARD	KEY FOB	3
ROUTER	MODEM	3
SERVER	WAREHOUSE	2
CLOUD	LOCKER	2
HARD DRIVE	FILING CABINET	2
FOLDER	ENVELOPE	2
RECYCLE BIN	SHREDDER	2
INBOX	POSTBOX	2
ATTACHMENT	PARCEL	2
AUTOCORRECT	PROOFREADER	2
VOICE ASSISTANT	CALL CENTRE	2
SATELLITE	WEATHER BALLOON	1
GPS	COMPASS	2
BARCODE	FINGERPRINT	2
QR CODE	TICKET STUB	2
CHIP	CIRCUIT	3
PIXEL	GRAIN	3
RESOLUTION	SHARPNESS	3
FILTER	SIEVE	2
EMOJI	HIEROGLYPH	2
HASHTAG	LABEL	2
PROFILE	BADGE	2
FEED	NEWSPAPER	2
FOLLOWER	SUBSCRIBER	3
BLOCK	MUTE	3
DM	POSTCARD	2
VIRAL	EPIDEMIC	2
TROLL	HECKLER	2
BOT	PUPPET	2
CAPTCHA	RIDDLE	2
TWO-FACTOR	DOUBLE LOCK	2
INCOGNITO	DISGUISE	2
COOKIE	BREADCRUMB	2
POP-UP	INTERRUPTION	2
AD BLOCKER	EARPLUGS	2
BROKEN LINK	DEAD END	2
LOW SIGNAL	FAINT ECHO	2
AIRPLANE MODE	DO NOT DISTURB	2
SMART WATCH	PEDOMETER	2
FITNESS TRACKER	STOPWATCH	2
E-READER	PAPERBACK	1
PRINTER	VENDING MACHINE	2
SCANNER	CAMERA	3
PROJECTOR	TORCH	2
REMOTE CONTROL	LIGHT SWITCH	2
GAMES CONSOLE	ARCADE MACHINE	1
CONTROLLER	STEERING WHEEL	2
JOYSTICK	LEVER	3
HEADSET	HELMET	2
VIRTUAL REALITY	DAYDREAM	2
SELF-DRIVING	AUTOPILOT	3
ELECTRIC CAR	MILK FLOAT	2
SOLAR PANEL	SUNDIAL	2
